train,eval,type,accuracy,precision,recall,f1,roc_auc
AAPL,AAPL,in-dist,0.5,0.5608,0.5492,0.555,0.483
MSFT,MSFT,in-dist,0.5235,0.6207,0.3789,0.4706,0.5366
GOOGL,GOOGL,in-dist,0.5824,0.5824,1.0,0.7361,0.4991
AMZN,AMZN,in-dist,0.4676,0.4967,0.4222,0.4565,0.4701
NVDA,NVDA,in-dist,0.4382,0.0,0.0,0.0,0.5664
AAPL,TCS,OOD,0.5646,0.5781,0.4485,0.5051,0.5674
MSFT,TCS,OOD,0.5255,0.5161,0.6788,0.5864,0.5522
GOOGL,TCS,OOD,0.4955,0.4955,1.0,0.6627,0.488
AMZN,TCS,OOD,0.5015,0.4977,0.6545,0.5654,0.4895
NVDA,TCS,OOD,0.5375,0.5797,0.2424,0.3419,0.536
AAPL,RELIANCE,OOD,0.5255,0.5814,0.2907,0.3876,0.5164
MSFT,RELIANCE,OOD,0.5315,0.5351,0.7093,0.61,0.5386
GOOGL,RELIANCE,OOD,0.5165,0.5165,1.0,0.6812,0.5051
AMZN,RELIANCE,OOD,0.4565,0.4734,0.4651,0.4692,0.4469
NVDA,RELIANCE,OOD,0.5135,0.5893,0.1919,0.2895,0.5074
AAPL,HDFCBANK,OOD,0.4925,0.5652,0.2191,0.3158,0.5142
MSFT,HDFCBANK,OOD,0.5345,0.5372,0.9326,0.6817,0.5316
GOOGL,HDFCBANK,OOD,0.5345,0.5345,1.0,0.6967,0.466
AMZN,HDFCBANK,OOD,0.4805,0.5123,0.5843,0.5459,0.4506
NVDA,HDFCBANK,OOD,0.5165,0.5691,0.3933,0.4651,0.5509
